angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
83,-1.104466199874878,6.862710475921631,4.3387638330459595,8.124889373779297,2.21855742931366,10.115492343902588,6.383908412176426,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
84,-1.0799225568771362,6.653351068496704,4.2021424770355225,7.874457359313965,2.0716394543647767,9.752464246749877,6.176719485386102,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
85,-1.0553789138793945,6.395849227905273,4.043386459350586,7.542423725128174,1.9241012454032898,9.286511182785034,5.9197013195190165,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
86,-1.0308351516723633,6.121822357177734,3.882707417011261,7.159741282463074,1.805855828523636,8.748787355422975,5.636978554217904,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
87,-1.006291389465332,5.856563568115234,3.7362309098243713,6.772100210189819,1.7492739498615264,8.209727382659914,5.357887984448009,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
88,-0.9817478060722351,5.6436872482299805,3.624371290206909,6.420389533042908,1.7015417456626891,7.699260735511783,5.114441763517205,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
89,-0.9572041034698486,5.511685848236084,3.5597702264785767,6.1585599184036255,1.671947818994522,7.295224714279175,4.937216028076493,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
90,-0.9326603412628174,5.467033863067627,3.540541350841522,6.046134114265442,1.6243900299072265,7.067323493957519,4.84944210227234,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
91,-0.9081166982650757,5.503077745437622,3.5405483841896057,6.111962795257568,1.54996617436409,7.0858042478561405,4.860732179194413,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
92,-0.8835729360580444,5.634346961975098,3.557758629322052,6.332430124282837,1.5099855065345764,7.281949424743653,4.963702247221437,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
